employee_id,full_name,department,employment_type,role,hire_date
420,Alix Ditty,Finance,Full-time,Analyst,9/20/2018
421,Addie Hovington,Finance,Part-time,Team Lead,12/14/2015
422,Domeniga Auckland,Operations,Full-time,Manager,1/30/2017
423,Lauralee Fearnsides,Finance,Full-time,Coordinator,4/14/2016
424,Enrichetta Kidde,Finance,Full-time,Recruiter,1/6/2016
425,Austin Otley,Human Resources,Full-time,Manager,10/16/2021
426,Sansone Warke,Human Resources,Full-time,Coordinator,8/16/2016
427,Armin Cornbill,Finance,Full-time,Recruiter,9/29/2017
428,Sianna Treacy,Human Resources,Full-time,Analyst,8/27/2016
429,Filbert De Rye Barrett,Human Resources,Full-time,Team Lead,2/13/2020
430,Letizia Jakubiak,Finance,Full-time,Analyst,7/7/2018
431,Dane Clemo,Operations,Part-time,Manager,8/20/2018
432,Vinny Aberkirder,Finance,Full-time,Generalist,1/23/2021
433,Kirby Fasham,Operations,Part-time,Analyst,7/26/2015
434,Torrie Lebreton,Operations,Part-time,Team Lead,3/7/2016
435,Gerardo Caro,Finance,Full-time,Analyst,11/25/2016
436,Leisha Ruddoch,Operations,Full-time,Recruiter,11/24/2018
437,Welch Cowterd,Operations,Full-time,Coordinator,4/23/2021
438,Rycca Lighton,Finance,Part-time,Team Lead,11/12/2016
439,Colline Zeal,Finance,Part-time,Analyst,1/26/2017
440,Lilas Easthope,Operations,Part-time,Team Lead,9/7/2017
441,Livvie Gaskarth,Operations,Part-time,Generalist,9/7/2015
442,Vitia Moland,Operations,Full-time,Analyst,11/27/2015
443,Eachelle Poppleston,Operations,Part-time,Team Lead,3/13/2020
444,Aggie Passfield,Finance,Full-time,Manager,4/23/2022
445,Udale Rizzardi,Human Resources,Part-time,Analyst,6/13/2021
446,Arluene Phoenix,Operations,Full-time,Recruiter,8/26/2023
447,Yorker McKirton,Operations,Part-time,Coordinator,12/8/2018
448,Conny Paffot,Operations,Part-time,Recruiter,2/1/2022
449,Sayre Blaasch,Operations,Full-time,Recruiter,1/11/2016
450,Elsy Hanse,Finance,Full-time,Recruiter,1/8/2017
451,Rosene Eskell,Operations,Part-time,Manager,5/14/2018
452,Phillis Dyton,Finance,Full-time,Team Lead,11/5/2018
453,Hendrik Chastan,Human Resources,Part-time,Analyst,8/27/2016
454,Leslie Brokenbrow,Finance,Full-time,Recruiter,5/10/2023
455,Harrie Kindleside,Human Resources,Full-time,Generalist,5/17/2017
456,Meridel Stuchbury,Finance,Part-time,Generalist,9/8/2022
457,Brooks Cundict,Human Resources,Full-time,Recruiter,8/10/2019
458,Lola Pitcaithly,Human Resources,Part-time,Analyst,6/16/2017
459,Elsy Francino,Human Resources,Full-time,Team Lead,5/9/2020
460,Conrado Lys,Human Resources,Part-time,Recruiter,1/3/2021
461,Ignacius Slocombe,Human Resources,Full-time,Team Lead,3/11/2017
462,Allan Gration,Human Resources,Full-time,Recruiter,2/18/2021
463,Joye Courtese,Human Resources,Part-time,Manager,2/26/2016
464,Barbabas Wharram,Operations,Full-time,Analyst,9/18/2021
465,Clayborn Loddy,Human Resources,Part-time,Manager,1/23/2023
466,Rawley Buckles,Operations,Part-time,Generalist,6/19/2022
467,Grantley Dovey,Finance,Part-time,Generalist,2/5/2021
468,Violette Di Ruggero,Operations,Full-time,Analyst,1/6/2023
469,Ada Handes,Finance,Part-time,Team Lead,7/21/2018
470,Maegan Parris,Operations,Part-time,Manager,6/8/2022
471,Dorolice Martinello,Finance,Full-time,Manager,2/18/2015
472,Binny Sautter,Finance,Part-time,Coordinator,3/20/2017
473,Babs Mahady,Human Resources,Part-time,Coordinator,12/16/2016
474,Babara Spera,Operations,Part-time,Analyst,6/29/2017
475,Rollo Dunphie,Operations,Part-time,Team Lead,11/2/2017
476,Robina Douche,Human Resources,Full-time,Coordinator,8/14/2022
477,Josefa Pritchitt,Operations,Part-time,Analyst,1/15/2023
478,Rosalinde Domleo,Human Resources,Part-time,Manager,11/3/2023
479,Mirabelle Mallabon,Finance,Full-time,Team Lead,4/5/2016
480,Cam Hayhow,Operations,Part-time,Generalist,6/27/2018
481,Alejandra Grewer,Human Resources,Full-time,Team Lead,3/25/2019
482,Nani Sarfat,Operations,Part-time,Manager,9/3/2018
483,Darcy Pounder,Operations,Full-time,Analyst,8/5/2018
484,Kellby Sorrie,Human Resources,Full-time,Generalist,10/16/2018
485,Willi Dubarry,Human Resources,Full-time,Team Lead,7/14/2018
486,Constantine Dodgshun,Operations,Part-time,Analyst,8/5/2017
487,Edsel Streeting,Operations,Full-time,Recruiter,12/21/2016
488,Danila Oxley,Finance,Full-time,Coordinator,12/23/2015
489,Marjorie Habeshaw,Finance,Part-time,Coordinator,9/19/2018
490,Tonia Tobin,Operations,Part-time,Generalist,1/14/2016
491,Loella Brodhead,Human Resources,Full-time,Generalist,11/2/2015
492,Veronika Richin,Human Resources,Part-time,Analyst,1/2/2017
493,Francisca Horrell,Finance,Full-time,Team Lead,7/20/2022
494,Alex Gillham,Human Resources,Part-time,Generalist,11/3/2023
495,Cassy Else,Operations,Part-time,Generalist,5/31/2022
496,Gayler Peers,Finance,Part-time,Coordinator,8/29/2018
497,Avery Canton,Human Resources,Full-time,Coordinator,11/24/2017
498,Kerianne Passie,Human Resources,Full-time,Coordinator,6/3/2021
499,Umeko Stango,Operations,Full-time,Recruiter,11/13/2022
500,Querida Charker,Operations,Full-time,Coordinator,5/21/2018
